"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"The Rothman Orthopaedic Institute","PA","Healthcare Provider","874","06/02/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"University of Kansas Health System - Great Bend Campus","KS","Healthcare Provider","926","06/01/2022","Improper Disposal","Paper/Films","No",""
"Burman & Zuckerbrod Ophthalmology Associates, P.C.","MI","Healthcare Provider","1337","06/01/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Fishman Vision","CA","Healthcare Provider","2646","06/01/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Associated Ophthalmologists of Kansas City, P.C.","MO","Healthcare Provider","13461","05/31/2022","Hacking/IT Incident","Electronic Medical Record","No",""
"Shoreline Eye Group","CT","Healthcare Provider","57047","05/27/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Sylvester Eye Care","OK","Healthcare Provider","19377","05/27/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Shields Health Care Group, Inc.","MA","Business Associate","2000000","05/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Finkelstein Eye Associates ","IL","Healthcare Provider","48587","05/27/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Stephen Sims, MD, PA dba North Lakes Pain Consultants","TX","Healthcare Provider","8620","05/27/2022","Hacking/IT Incident","Network Server","No",""
"Capsule","NY","Healthcare Provider","27486","05/27/2022","Hacking/IT Incident","Network Server","No",""
"Aon PLC","IL","Business Associate","28714","05/26/2022","Hacking/IT Incident","Network Server","Yes",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","500","05/25/2022","Hacking/IT Incident","Email","No",""
"Moyes Eye Center, PC","MO","Healthcare Provider","38000","05/25/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"The Multiple Sclerosis Center of Atlanta","GA","Healthcare Provider","2820","05/25/2022","Hacking/IT Incident","Email","No",""
"Val Verde Regional Medical Center (“VVRMC”) ","TX","Healthcare Provider","86562","05/24/2022","Hacking/IT Incident","Network Server","No",""
"Allwell Behavioral Health Services","OH","Healthcare Provider","29972","05/23/2022","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Health Plan","500","05/23/2022","Hacking/IT Incident","Email","No",""
"Creative Hospice Care, Inc. dba Homestead Hospice & Palliative Care","GA","Healthcare Provider","28332","05/23/2022","Hacking/IT Incident","Email, Laptop","No",""
"County of Santa Barbara, Department of Behavioral Wellness","CA","Healthcare Provider","601","05/23/2022","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Laptop","No",""
"Oswego County Opportunities, Inc.","NY","Healthcare Provider","7766","05/20/2022","Hacking/IT Incident","Email","No",""
"Health Care Administrative Services","VA","Healthcare Provider","500","05/20/2022","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films","No",""
"Aesto, LLC d/b/a Aesto Health","AL","Business Associate","17400","05/20/2022","Hacking/IT Incident","Network Server","Yes",""
"OE Enterprises, Inc.","NC","Healthcare Provider","4075","05/20/2022","Hacking/IT Incident","Email","No",""
"Alameda Health System","CA","Healthcare Provider","90000","05/20/2022","Hacking/IT Incident","Email","No",""
"Julieta Y. Echeverria D.D.S., Inc.","CA","Healthcare Provider","529","05/20/2022","Theft","Paper/Films","No",""
"Georgia Pain and Spine Care ","GA","Healthcare Provider","1056","05/20/2022","Unauthorized Access/Disclosure","Email","Yes",""
"Partnership HealthPlan of California","CA","Health Plan","854913","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Bryan County Ambulance Authority","OK","Healthcare Provider","14273","05/18/2022","Hacking/IT Incident","Network Server","No",""
"Allaire Healthcare Group","NJ","Healthcare Provider","13148","05/17/2022","Hacking/IT Incident","Email","No",""
"Northern Rockies Orthopaedics","MT","Healthcare Provider","6701","05/17/2022","Hacking/IT Incident","Email","No",""
"Heidell, Pittoni, Murphy & Bach, LLP","NY","Business Associate","114979","05/16/2022","Hacking/IT Incident","Network Server","Yes",""
"Health Insurance Plan of Greater New York","NY","Health Plan","792","05/16/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"EmblemHealth Plan, Inc.","NY","Health Plan","11399","05/16/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"ConnectiCare","CT","Health Plan","1196","05/16/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division","MD","Health Plan","2008","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Parker-Hannifin Corporation Group Health Plans","OH","Health Plan","119513","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Schneck Medical Center ","IN","Healthcare Provider","92311","05/13/2022","Hacking/IT Incident","Network Server","No",""
"Behavioral Health Partners of Metrowest, LLC. ( ""BHPMW"")","MA","Business Associate","11288","05/12/2022","Hacking/IT Incident","Network Server","Yes",""
"Genetics & IVF Institute ","VA","Healthcare Provider","606","05/11/2022","Hacking/IT Incident","Network Server","No",""
"Summit Healthcare Association","AZ","Healthcare Provider","1403","05/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Motion Picture Industry Health Plan","CA","Health Plan","16838","05/11/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
