location,count,proportion
Desktop Computer,178,5.8
"Desktop Computer, Electronic Medical Record",10,0.3
"Desktop Computer, Electronic Medical Record, Email, Laptop",1,0
"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server",2,0.1
"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device",1,0
"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device",1,0
"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",2,0.1
"Desktop Computer, Electronic Medical Record, Email, Laptop, Other Portable Electronic Device",1,0
"Desktop Computer, Electronic Medical Record, Email, Laptop, Other, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Electronic Medical Record, Email, Network Server",4,0.1
"Desktop Computer, Electronic Medical Record, Email, Network Server, Other, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films",1,0
"Desktop Computer, Electronic Medical Record, Laptop",3,0.1
"Desktop Computer, Electronic Medical Record, Laptop, Network Server",1,0
"Desktop Computer, Electronic Medical Record, Network Server",9,0.3
"Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Electronic Medical Record, Other",1,0
"Desktop Computer, Electronic Medical Record, Paper/Films",1,0
"Desktop Computer, Email",7,0.2
"Desktop Computer, Email, Laptop, Network Server",7,0.2
"Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device",1,0
"Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device",1,0
"Desktop Computer, Email, Network Server",4,0.1
"Desktop Computer, Laptop",17,0.6
"Desktop Computer, Laptop, Network Server",3,0.1
"Desktop Computer, Laptop, Network Server, Other Portable Electronic Device",1,0
"Desktop Computer, Laptop, Other Portable Electronic Device",5,0.2
"Desktop Computer, Laptop, Other, Other Portable Electronic Device",1,0
"Desktop Computer, Laptop, Paper/Films",1,0
"Desktop Computer, Network Server",30,1
"Desktop Computer, Network Server, Other, Other Portable Electronic Device",1,0
"Desktop Computer, Network Server, Paper/Films",2,0.1
"Desktop Computer, Other",4,0.1
"Desktop Computer, Other Portable Electronic Device",4,0.1
"Desktop Computer, Other Portable Electronic Device, Paper/Films",1,0
"Desktop Computer, Other, Other Portable Electronic Device",1,0
"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films",2,0.1
"Desktop Computer, Other, Paper/Films",1,0
"Desktop Computer, Paper/Films",9,0.3
Electronic Medical Record,125,4.1
"Electronic Medical Record, Email",3,0.1
"Electronic Medical Record, Email, Laptop",1,0
"Electronic Medical Record, Email, Laptop, Network Server",1,0
"Electronic Medical Record, Email, Laptop, Paper/Films",1,0
"Electronic Medical Record, Laptop",3,0.1
"Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device",1,0
"Electronic Medical Record, Laptop, Network Server, Paper/Films",1,0
"Electronic Medical Record, Network Server",21,0.7
"Electronic Medical Record, Network Server, Other",1,0
"Electronic Medical Record, Other",8,0.3
"Electronic Medical Record, Other, Other Portable Electronic Device",2,0.1
"Electronic Medical Record, Other, Paper/Films",1,0
"Electronic Medical Record, Paper/Films",9,0.3
Email,542,17.7
"Email, Laptop",3,0.1
"Email, Laptop, Network Server",2,0.1
"Email, Laptop, Other Portable Electronic Device",2,0.1
"Email, Laptop, Paper/Films",1,0
"Email, Network Server",7,0.2
"Email, Network Server, Other Portable Electronic Device",1,0
"Email, Other",3,0.1
"Email, Other Portable Electronic Device",5,0.2
"Email, Paper/Films",1,0
Laptop,342,11.2
"Laptop, Network Server",5,0.2
"Laptop, Other",2,0.1
"Laptop, Other Portable Electronic Device",20,0.7
"Laptop, Other Portable Electronic Device, Paper/Films",4,0.1
"Laptop, Paper/Films",12,0.4
Network Server,520,17
"Network Server, Other",11,0.4
"Network Server, Other Portable Electronic Device",1,0
"Network Server, Other, Paper/Films",1,0
"Network Server, Paper/Films",2,0.1
Other,261,8.5
Other Portable Electronic Device,151,4.9
"Other Portable Electronic Device, Paper/Films",3,0.1
"Other, Other Portable Electronic Device",47,1.5
"Other, Paper/Films",10,0.3
Paper/Films,604,19.7
