type,count,proportion
Hacking/IT Incident,883,28.8
"Hacking/IT Incident, Improper Disposal, Loss, Other, Theft, Unauthorized Access/Disclosure, Unknown",1,0
"Hacking/IT Incident, Other",2,0.1
"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",1,0
"Hacking/IT Incident, Theft",1,0
"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure",2,0.1
"Hacking/IT Incident, Unauthorized Access/Disclosure",8,0.3
Improper Disposal,81,2.6
"Improper Disposal, Loss",3,0.1
"Improper Disposal, Loss, Theft",3,0.1
"Improper Disposal, Theft",1,0
"Improper Disposal, Theft, Unauthorized Access/Disclosure",1,0
"Improper Disposal, Unauthorized Access/Disclosure",1,0
Loss,171,5.6
"Loss, Other",2,0.1
"Loss, Other, Theft",1,0
"Loss, Theft",15,0.5
"Loss, Theft, Unauthorized Access/Disclosure, Unknown",1,0
"Loss, Unauthorized Access/Disclosure",3,0.1
"Loss, Unauthorized Access/Disclosure, Unknown",1,0
"Loss, Unknown",1,0
Other,75,2.4
"Other, Theft",3,0.1
"Other, Theft, Unauthorized Access/Disclosure",2,0.1
"Other, Unauthorized Access/Disclosure",7,0.2
"Other, Unknown",2,0.1
Theft,890,29
"Theft, Unauthorized Access/Disclosure",25,0.8
Unauthorized Access/Disclosure,867,28.3
Unknown,10,0.3
,1,0
