entity,state,org,affect,date,type,location
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",CA,Healthcare Provider,3300638,2023-02-01,Hacking/IT Incident,Network Server
"Cerebral, Inc",DE,Business Associate,3179835,2023-03-01,Unauthorized Access/Disclosure,Network Server
"NationsBenefits Holdings, LLC",FL,Business Associate,3037303,2023-04-13,Hacking/IT Incident,Network Server
ZOLL Services LLC,MA,Healthcare Provider,997097,2023-03-10,Hacking/IT Incident,Network Server
"Community Health Systems Professional Services Corporations (CHSPSC), LLC",TN,Business Associate,962884,2023-03-16,Hacking/IT Incident,Network Server
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,2023-02-10,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,462241,2023-04-07,Hacking/IT Incident,Network Server
Cardiovascular Associates,AL,Healthcare Provider,441640,2023-02-03,Hacking/IT Incident,Network Server
Santa Clara Family Health Plan,CA,Health Plan,276993,2023-03-30,Hacking/IT Incident,Network Server
"Reventics, LLC",FL,Business Associate,250918,2023-02-10,Hacking/IT Incident,Network Server
