entity,state,org,affect,date,type,location
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466,2019-12-05,Theft,Laptop
Roosevelt General Hospital,NM,Healthcare Provider,28847,2019-12-19,Hacking/IT Incident,Network Server
Healthcare Administrative Partners,PA,Business Associate,17693,2019-12-03,Hacking/IT Incident,Email
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549,2019-12-10,Hacking/IT Incident,Email
"PediHEalth, PLLC, dba Children's Choice Pediatrics",TX,Healthcare Provider,12689,2019-12-20,Hacking/IT Incident,Network Server
Sinai Health System,IL,Healthcare Provider,12578,2019-12-13,Hacking/IT Incident,Email
Colorado Department of Human Services,CO,Healthcare Provider,12230,2019-12-16,Hacking/IT Incident,Other
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536,2019-12-12,Unauthorized Access/Disclosure,Network Server
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000,2019-12-02,Hacking/IT Incident,Email
Sunrise Community Health,CO,Healthcare Provider,7668,2019-12-05,Hacking/IT Incident,Email
