entity,state,org,affect,date,type,location
Betty Jean Kerr People's Health Centers,MO,Healthcare Provider,152000,2019-10-25,Hacking/IT Incident,Network Server
Kalispell Regional Healthcare,MT,Healthcare Provider,140209,2019-10-22,Hacking/IT Incident,Email
"The Methodist Hospitals, Inc.",IN,Healthcare Provider,68039,2019-10-04,Hacking/IT Incident,Email
Children's Minnesota,MN,Healthcare Provider,37942,2019-10-25,Unauthorized Access/Disclosure,Network Server
Corpus Christi Tots & Teens Pediatrics,TX,Healthcare Provider,31787,2019-10-24,Hacking/IT Incident,Network Server
University of Alabama at Birmingham,AL,Healthcare Provider,19557,2019-10-03,Hacking/IT Incident,Email
Prisma Health - Midlands,SC,Healthcare Provider,19060,2019-10-28,Hacking/IT Incident,Other
South Texas Dermatopathology Laboratory,TX,Healthcare Provider,15982,2019-10-07,Hacking/IT Incident,Network Server
Central Valley Regional Center,CA,Business Associate,15975,2019-10-11,Hacking/IT Incident,Email
Delta Dental of Illinois,IL,Health Plan,15466,2019-10-25,Hacking/IT Incident,Email
